Brokreacja Imperialny Nafciarz Bunnahabhain BA,Smoked,11.6
Kormoran Podroze Kormorana American IPA,IPA,6
Amarcord / PINTA Polish-Italian Grape Ale (PIGA),Fruit Beer,6.5
Szpunt / Golem ZeroIBU,IPA - Hazy / New England,6
PINTA Final Call,IPA - Imperial / Double,7
AleBrowar Smoky Joe Fan Edition (2014-),Stout - Foreign / Extra,6.2
Good Game Clutchmeister,Pilsener,4.1
Kopyra & Widawa Shark,IPA - Session,4.9
Brokreacja Potion #2,Brown Ale,11
Perun Noc Kupały,Stout - Foreign / Extra,6.4
Artezan Too Young To Be Herod 2018,Stout - Imperial,10
Browar Grodzisk Grodziska White IPA,IPA,6
Dzika Pszczoła - Mango,Mead,9
Rochefort Trappistes 8,Belgian Strong Ale,9.2
Szpunt / Golem StoIBU,IPA - Hazy / New England,6
AleBrowar New Wave Gose z Jagodą,Grodziskie/Gose/Lichtenhainer,4.7
Piwoteka Łódź, ku*wa!,Barley Wine / Wheat Wine,12
Za Miastem Cicha Noc,Stout - Sweet,5.6
Birbant Fruity DDH Imperial Citra IPA,IPA - Imperial / Double,7.9
Maryensztadt Projekt Barrel Aged Barley Wine Laphroaig Whisky,Barley Wine / Wheat Wine,9.5
Dwóch Braci Łowca,IPA,6
The Garage Monks Dudette,IPA,7
Pracownia Piwa Honey, I'm Home,IPA,6.9
Perun Furia Burzy,IPA - Imperial / Double,10.8
Brovaria Porter Bałtycki Barrel Aged,Porter - Baltic,9
PINTA / Bakunin Warsaw Express,Barley Wine / Wheat Wine,9.3
Maryensztadt Projekt Barrel Aged Wheat Wine Cognac,Barley Wine / Wheat Wine,12
Solipiwko Jason,Pale Ale - American,4.6
Brokreacja The Blogger 2018,Czech Pilsner (Světlý),4
Baladin Lune Riserva Teo Musso 2012,Barley Wine / Wheat Wine,11.5
PINTA Eisbock Grand Prix,Bock - Eisbock,11.3
Widawa Porter Bałtycki Wędzony 24° Bourbon BA,Porter - Baltic,10.5
De Moersleutel Octane Overlord,Stout - Imperial,11
De Moersleutel Smeerolie Coconut Milkshake,Stout - Imperial,10
PINTA Red Grape Ale,Fruit Beer,8.8
PINTA Hazy Morning,Pale Ale - American,4.4
Rockmill Desmotis,Stout - Imperial,12
Jurajskie Motocyklowe,Low Alcohol,0.5
